,fluxadjflux,BABA,TSLA,MSFT,JPM,COST,NFLX,TSM,DIS,XOM,MA,AAPL,KO,META,BAC,ADBE,UNH,GOOGL,HD,V,INTC,MCD,CRM,JNJ,GE,PFE,AMZN,TM,PG,ASML,PYPL,PEP,NVDA,WMT
2015-07-06,137.6333,77.4818,18.648,38.6381,51.8175,114.1953,94.5714,17.9069,107.1376,53.7464,89.0819,28.2568,29.1596,87.2168,13.8376,80.5,105.7214,27.1825,89.0652,63.6353,23.3807,75.4669,68.7759,74.9841,110.2357,21.2827,21.802,126.5556,60.9796,93.0011,36.71,71.5641,0.4882,20.0375
2015-07-07,137.0333,76.8927,17.8587,38.5598,51.4096,118.078,94.0914,17.9225,108.434,53.9678,88.6382,28.1873,29.7735,86.8881,13.6334,80.59,104.4579,27.4022,89.9293,63.3084,23.2718,76.2796,69.8698,75.5339,110.9061,21.5899,21.836,126.2219,62.2517,91.3951,36.62,73.0803,0.479,20.3856
2015-07-08,132.8,75.2703,16.9973,38.5076,50.3552,117.5737,93.5071,17.3527,106.6653,53.3817,87.3165,27.4876,29.4851,85.3241,13.274,79.99,102.7962,26.9872,88.8092,62.3368,22.9604,75.6168,69.0046,74.6558,108.476,21.4107,21.485,122.1505,61.6956,88.6394,34.7,72.4814,0.4756,20.1839
2015-07-09,126.3667,76.3326,17.1947,38.7513,50.8786,117.1955,95.7271,17.3449,107.045,53.1407,87.8357,26.927,29.5294,85.5532,13.4618,80.47,103.2809,27.1341,89.1132,62.6358,22.5168,76.1297,69.5714,75.1368,109.0207,21.6731,21.7195,123.0277,61.4442,90.9024,34.5,71.7081,0.4698,20.1065
2015-07-10,133.2333,77.5495,17.2767,38.8296,51.602,119.9437,97.2286,17.6181,107.8228,53.5445,89.3274,27.6468,29.8771,87.6153,13.6416,80.59,105.7127,27.7051,90.4894,63.9156,22.7036,77.0449,70.7449,75.9997,110.0681,21.9932,22.1755,125.4019,61.6651,93.7128,34.69,72.4359,0.4781,20.2005
2015-07-13,114.5,79.056,17.4773,39.6391,52.4024,121.0698,101.0871,17.8445,109.3137,53.6747,90.1581,28.1806,30.0768,89.7571,13.9029,81.44,105.9724,28.4832,91.9295,64.9432,23.1395,77.6603,70.6554,76.5647,110.9061,22.2876,22.7785,127.2326,62.3965,94.2603,36.78,73.7019,0.4812,20.4104
2015-07-14,109.3667,78.7084,17.71,39.7087,53.1335,120.9606,100.3714,17.7976,109.1285,54.1241,89.941,28.1694,30.4541,89.3387,13.9928,81.89,108.1792,29.1035,92.2976,65.485,23.0772,77.9365,71.3913,76.1906,111.7022,22.454,23.2785,127.2421,62.4955,94.0504,36.93,73.6337,0.4814,20.3856
2015-07-15,104.1667,77.9647,17.5427,39.8306,53.249,120.7085,98.13,17.6103,109.5452,53.8961,89.9221,28.4407,30.4245,89.4184,14.4421,82.12,108.9235,29.0925,92.4736,65.4102,23.1083,78.1653,70.9636,76.6793,112.1631,22.39,23.0595,127.757,62.5793,97.3445,37.51,73.0424,0.4781,20.3469
2015-07-16,103.0,78.7373,17.7787,40.614,53.5337,121.2968,115.81,17.743,110.2582,53.9938,90.4602,28.8197,30.6834,90.5043,14.6626,82.52,108.1186,29.9803,91.7935,65.924,23.2718,77.2106,72.0177,77.2061,113.2943,22.4668,23.774,129.4542,62.6936,91.5776,38.63,73.4593,0.4887,20.3966
2015-07-17,101.2,80.5046,18.3107,40.5792,53.2644,121.5909,114.77,17.9772,110.0637,53.7985,90.7057,29.0687,30.5133,94.6086,14.7852,82.1,107.184,34.8546,91.5855,66.2136,22.9371,76.9266,72.4056,76.4196,114.1323,22.4476,24.1505,129.0633,62.6478,91.751,38.39,73.3684,0.4858,20.275
2015-07-20,96.7,79.8383,18.8173,40.8403,53.3028,121.8935,110.55,17.8757,110.7304,53.2449,91.8197,29.6181,30.6094,97.5374,14.8015,82.09,106.1455,34.5169,90.7374,67.9138,22.6491,76.9187,72.3658,76.6411,113.7134,22.5564,24.405,129.2349,62.6098,92.1616,40.47,73.7702,0.4768,20.1949
2015-07-21,93.8667,79.7127,17.7847,41.1537,53.1797,121.8094,112.51,17.8601,110.4804,53.1798,91.3004,29.3221,30.4689,98.0156,14.7688,81.19,104.5963,34.6419,91.0974,67.2786,22.3534,76.7846,73.4199,76.6182,112.4983,22.4924,24.4,128.3005,62.1832,92.0703,39.35,73.4821,0.479,20.0955
2015-07-22,91.7,81.2676,17.858,39.6391,53.9339,123.0196,111.5,17.3449,110.499,53.2645,91.4609,28.0819,30.2544,96.6707,15.0711,80.73,104.38,34.6295,91.9295,67.2318,22.2677,76.9897,73.4597,76.496,111.5765,22.326,24.4135,127.757,62.0779,92.0156,38.39,73.664,0.4698,20.2115
2015-07-23,91.8333,81.0068,17.8133,40.1353,53.5953,122.364,110.1,17.4151,110.0082,52.8412,89.8371,28.0684,30.21,95.0768,14.8505,80.64,103.2722,33.6146,91.6815,67.0263,22.26,76.6031,71.8089,76.5113,110.0262,22.262,24.109,127.0514,61.9781,93.0102,37.01,73.4366,0.4756,20.0319
2015-07-24,95.3667,80.1763,17.694,39.9873,53.0335,121.8514,109.34,16.8921,110.11,52.0597,90.4697,27.9204,29.9141,96.5811,14.6218,80.98,102.0693,32.6203,90.8814,69.8755,21.8397,75.822,73.5094,75.7095,107.8894,21.9292,26.471,126.384,61.6632,89.9077,37.0,72.9135,0.4701,19.775
2015-07-27,102.5667,78.6118,16.8673,39.4737,52.3408,121.2295,106.43,16.8843,109.4988,51.6168,89.1102,27.5325,29.9881,93.8116,14.4339,79.93,102.0173,32.7946,90.4654,68.9974,22.0654,75.7746,72.0575,75.0452,108.7274,21.9804,26.5705,125.6593,61.4175,89.999,36.39,72.5193,0.4674,19.7198
2015-07-28,104.3,77.8005,17.6547,39.465,52.3716,121.4816,106.9,17.0795,109.6933,53.7138,89.8371,27.6693,29.9955,94.9274,14.6054,80.59,105.1675,32.8639,91.8815,69.8195,22.5402,76.7924,73.3801,75.6103,109.3559,22.6268,26.3015,125.707,61.6172,90.4096,37.6,72.8605,0.4776,19.9187
2015-07-29,103.7,77.5108,17.588,40.2919,53.0566,122.1792,107.08,17.259,110.9712,54.1436,91.3194,27.5818,30.025,96.6209,14.8342,80.25,105.1675,32.952,93.1057,71.0059,22.5791,77.4868,73.4696,76.1524,110.0262,22.8893,26.45,126.4031,61.9167,90.3549,37.95,73.1788,0.4834,19.9546
2015-07-30,104.8667,77.2211,17.786,40.8055,53.1335,122.112,111.56,17.7196,111.1471,54.059,92.9054,27.4428,30.0029,94.8477,14.8097,81.29,104.3367,33.108,93.1777,71.3515,22.5012,78.2442,72.9525,76.2364,109.4397,22.8701,26.838,126.117,59.436,90.4187,38.45,73.2546,0.4846,19.9352
2015-07-31,104.1667,75.6566,17.7433,40.6488,52.741,122.112,114.31,17.259,111.1193,51.5843,91.9518,27.2028,30.3875,93.6523,14.6054,81.99,105.0637,32.7563,93.6337,70.38,22.5324,78.7886,72.8929,76.5189,109.3559,23.0813,26.8075,127.2517,58.9061,90.4917,38.7,73.0424,0.4829,19.8855
2015-08-03,108.4,75.3186,17.3327,40.7446,52.741,122.2969,112.56,16.9546,112.1565,50.8353,91.9896,26.5614,30.7278,93.7818,14.5156,81.4,104.6223,33.116,93.5217,70.7817,22.6102,78.4414,72.0376,76.3738,108.3922,23.1389,26.7515,126.9847,58.6757,89.5519,39.39,73.8763,0.4911,19.9408
2015-08-04,109.9333,76.1684,17.752,41.38,52.6871,121.7253,121.15,16.7438,112.6843,50.2557,91.8574,25.7092,30.9571,93.7021,14.5401,82.06,104.579,32.9446,94.0337,70.3146,22.6725,78.2205,71.4907,76.2058,108.5179,23.1133,26.595,123.8096,58.2994,88.32,38.95,74.1492,0.4931,19.9601
2015-08-05,114.7,77.0859,18.0087,41.4148,52.8949,123.4482,123.71,16.8687,102.3502,50.2557,92.7732,25.8797,31.1568,96.073,14.5973,83.38,107.2445,33.5429,94.4098,70.0437,22.853,78.7412,72.1271,76.7556,109.3559,23.1069,26.8505,122.3412,58.1918,89.999,39.27,75.1954,0.4981,20.4469
2015-08-06,121.9333,76.2553,16.4087,40.5792,52.5255,123.07,126.45,16.6111,100.5167,50.8549,91.7253,25.936,31.0088,94.758,14.5483,82.19,105.6176,33.3865,93.2577,68.7359,22.7666,78.3862,70.0388,75.6484,109.0626,22.6875,26.473,122.818,58.1688,87.9276,38.85,75.1651,0.495,20.2466
2015-08-07,126.0667,76.1202,16.1673,40.6836,52.3716,122.0783,123.52,16.416,101.2575,50.0343,92.3011,26.0238,30.8979,93.9411,14.4993,82.69,105.4271,33.0995,93.5537,69.3244,22.6646,78.0469,70.0189,75.4804,108.057,22.7005,26.131,123.9049,57.9691,88.4843,39.13,75.1271,0.5562,19.8183
2015-08-10,110.8,77.7136,16.076,41.1972,53.0181,122.9104,123.03,16.8687,102.7854,51.2847,92.5938,26.97,30.8313,93.7917,14.7361,83.62,105.9983,33.0372,94.0898,69.4832,23.2611,78.4178,70.8741,76.1982,109.9425,22.8101,26.2,124.9919,58.6603,90.7199,39.05,75.1196,0.5756,19.8822
2015-08-11,105.9667,74.6908,15.8247,40.3964,52.5101,122.6078,122.74,16.2599,100.0074,50.9363,91.763,25.5665,30.6834,93.2637,14.5319,83.9,105.8079,34.3903,94.1618,68.5304,22.7352,77.9601,71.2321,75.6026,107.7218,22.6553,26.373,123.0087,58.5374,90.51,38.85,74.7633,0.5727,20.0074
2015-08-12,102.3333,70.8665,15.878,40.6836,51.7482,123.4505,120.51,16.1974,99.0722,51.7908,91.612,25.9608,30.5206,93.8316,14.3114,83.82,104.8906,34.4486,94.1618,68.8111,23.1198,77.542,70.6454,75.3735,108.3503,22.8166,26.2955,121.4926,58.668,88.5846,38.19,74.5813,0.5741,20.1882
2015-08-13,96.9667,72.5372,16.1673,40.6749,51.9868,122.4224,123.73,16.0335,99.5629,51.6988,91.7914,25.9405,30.4023,93.0745,14.3931,84.31,104.302,34.2015,95.2259,69.176,22.6568,78.402,71.0034,75.1979,108.057,22.8101,26.483,121.8454,58.1995,86.4311,37.62,74.8922,0.5693,20.0575
2015-08-14,95.2667,72.1992,16.21,40.9099,52.2485,123.1134,123.39,15.9086,99.2296,51.5082,92.4145,26.123,30.5133,94.0607,14.4584,86.12,104.7348,34.344,95.8099,69.4473,22.7745,78.3231,72.5846,75.4499,109.2721,22.7843,26.576,122.2268,58.0766,84.5788,38.14,75.2257,0.5698,20.1326
2015-08-17,88.9667,72.6145,16.9993,41.1885,52.387,123.1134,125.36,15.8305,100.9797,51.7777,92.3861,26.3933,30.5872,93.5726,14.5156,86.77,107.158,34.5801,95.7699,69.6251,22.8216,79.4198,73.6288,76.2593,109.8167,22.9004,26.761,121.9217,58.0075,85.0168,38.73,75.7033,0.5662,20.0018
2015-08-18,90.9,71.3494,17.3813,41.4163,52.4947,122.7258,124.05,15.6354,99.0259,51.2058,92.1407,26.2446,30.5502,94.8078,14.4502,86.45,108.6119,34.3121,98.2502,69.6813,22.6882,79.4987,72.1769,75.8775,109.2302,22.9133,26.751,121.9217,57.7003,84.7248,37.99,75.6351,0.561,19.3259
2015-08-19,98.0333,70.6154,17.0167,40.838,52.0253,122.3381,122.06,15.5417,98.5721,50.1081,91.1966,25.9089,30.1656,94.9473,14.2624,85.48,106.6388,34.5767,98.2182,69.6158,22.2565,79.7669,71.6399,75.8317,107.8056,22.7521,26.646,120.1768,56.9246,82.9637,37.19,75.0438,0.5588,19.0728
2015-08-20,106.0,67.9113,16.1453,40.0056,50.7477,121.1077,112.49,15.3075,92.618,49.0169,89.2707,25.3773,29.9955,90.2154,13.6579,82.69,103.6703,33.8513,96.442,69.1947,21.6052,78.7097,67.4433,75.4346,105.5431,22.2876,25.789,116.8015,56.7633,79.7882,35.98,74.2781,0.5386,19.0339
2015-08-21,117.6333,65.8446,15.3847,37.7364,48.9469,117.1301,103.96,14.7377,91.5253,47.413,85.6077,23.8252,29.2409,85.7325,13.1514,78.87,100.6326,32.0852,92.9376,66.6122,20.8439,76.6346,68.7659,73.5264,103.0292,21.6361,24.7235,113.512,55.1736,78.3921,34.25,72.9666,0.5219,18.5082
